,LocationID,PUcount,DOcount,TOTALcount,zone,borough,X,Y
164,165,0.0,1.0,1.0,Midwood,Brooklyn,-73.95460294826191,40.620958700086206
165,166,23.0,191.0,214.0,Morningside Heights,Manhattan,-73.9618152643826,40.80957022827229
166,167,0.0,8.0,8.0,Morrisania/Melrose,Bronx,-73.9044425941057,40.8279880356749
167,168,0.0,14.0,14.0,Mott Haven/Port Morris,Bronx,-73.9170580317151,40.80743953086439
168,169,0.0,0.0,0.0,Mount Hope,Bronx,-73.9050214600049,40.849114821914704
169,170,260.0,923.0,1183.0,Murray Hill,Manhattan,-73.9769419924356,40.7476542811031
170,171,0.0,5.0,5.0,Murray Hill-Queens,Queens,-73.8088807171629,40.7689436687832
171,172,0.0,0.0,0.0,New Dorp/Midland Beach,Staten Island,-74.1039265024817,40.5724654201423
172,173,0.0,5.0,5.0,North Corona,Queens,-73.8630837007824,40.751779243921206
173,174,0.0,5.0,5.0,Norwood,Bronx,-73.87776056184659,40.876852592167104
174,175,0.0,2.0,2.0,Oakland Gardens,Queens,-73.75735677160671,40.743273849336
175,176,0.0,0.0,0.0,Oakwood,Staten Island,-74.1196124324174,40.5620606070131
176,177,0.0,3.0,3.0,Ocean Hill,Brooklyn,-73.9111057913062,40.6770986129152
177,178,0.0,1.0,1.0,Ocean Parkway South,Brooklyn,-73.9706887790417,40.6176331814343
178,179,3.0,54.0,57.0,Old Astoria,Queens,-73.9268123582238,40.7714253418156
179,180,0.0,4.0,4.0,Ozone Park,Queens,-73.8493643543423,40.6751638515945
180,181,9.0,86.0,95.0,Park Slope,Brooklyn,-73.979044896845,40.672019140546
181,182,0.0,1.0,1.0,Parkchester,Bronx,-73.8579416206911,40.837404358699395
182,183,0.0,0.0,0.0,Pelham Bay,Bronx,-73.83185405296459,40.8495686468422
183,184,0.0,0.0,0.0,Pelham Bay Park,Bronx,-73.8046108382118,40.8647854171785
184,185,0.0,3.0,3.0,Pelham Parkway,Bronx,-73.85518043318041,40.8534716586784
185,186,253.0,778.0,1031.0,Penn Station/Madison Sq West,Manhattan,-73.99245532771059,40.748476361761796
186,187,0.0,0.0,0.0,Port Richmond,Staten Island,-74.1411524820629,40.625453719937894
187,188,0.0,26.0,26.0,Prospect-Lefferts Gardens,Brooklyn,-73.94520015759,40.6575600630782
188,189,2.0,32.0,34.0,Prospect Heights,Brooklyn,-73.968269632125,40.6771824866237
189,190,1.0,2.0,3.0,Prospect Park,Brooklyn,-73.9709500738325,40.6606075676682
190,191,0.0,2.0,2.0,Queens Village,Queens,-73.74112042074971,40.7142783033807
191,192,0.0,2.0,2.0,Queensboro Hill,Queens,-73.8151925356493,40.7444109985
192,193,8.0,11.0,19.0,Queensbridge/Ravenswood,Queens,-73.94028630330509,40.7617244307638
193,194,0.0,2.0,2.0,Randalls Island,Manhattan,-73.9210290324994,40.7914329582306
194,195,0.0,21.0,21.0,Red Hook,Brooklyn,-74.009549313284,40.6754616838619
195,196,1.0,11.0,12.0,Rego Park,Queens,-73.8640102120344,40.7236478589889
196,197,0.0,8.0,8.0,Richmond Hill,Queens,-73.8290435569064,40.6930004742218
197,198,0.0,21.0,21.0,Ridgewood,Queens,-73.9019937512221,40.7045215336003
198,199,0.0,0.0,0.0,Rikers Island,Bronx,-73.8835364013293,40.792045943222604
199,200,0.0,9.0,9.0,Riverdale/North Riverdale/Fieldston,Bronx,-73.9064606078974,40.899859621114295
200,201,0.0,3.0,3.0,Rockaway Park,Queens,-73.8472464785559,40.577468718337
201,202,0.0,16.0,16.0,Roosevelt Island,Manhattan,-73.9504104879777,40.761167913907705
202,203,0.0,5.0,5.0,Rosedale,Queens,-73.73671880894409,40.6595017770463
203,204,0.0,0.0,0.0,Rossville/Woodrow,Staten Island,-74.2069729508607,40.540742689005604
204,205,0.0,3.0,3.0,Saint Albans,Queens,-73.7626156564313,40.6922189718589
205,206,0.0,1.0,1.0,Saint George/New Brighton,Staten Island,-74.12316375647309,40.6359593979133
206,207,0.0,1.0,1.0,Saint Michaels Cemetery/Woodside,Queens,-73.8993250159726,40.763511354935204
207,208,0.0,3.0,3.0,Schuylerville/Edgewater Park,Bronx,-73.824886342133,40.8246861384134
208,209,10.0,89.0,99.0,Seaport,Manhattan,-74.00235972445249,40.7084896914032
209,210,0.0,3.0,3.0,Sheepshead Bay,Brooklyn,-73.94433604544159,40.5937616085004
210,211,58.0,231.0,289.0,SoHo,Manhattan,-74.0013747299582,40.7238990714701
211,212,1.0,4.0,5.0,Soundview/Bruckner,Bronx,-73.8699019343016,40.8282769856365
212,213,0.0,2.0,2.0,Soundview/Castle Hill,Bronx,-73.86079103704921,40.816490762555
213,214,0.0,1.0,1.0,South Beach/Dongan Hills,Staten Island,-74.0858854521269,40.586619065529796
214,215,0.0,1.0,1.0,South Jamaica,Queens,-73.7903675378715,40.694190301351206
215,216,0.0,12.0,12.0,South Ozone Park,Queens,-73.8205132705286,40.6770712325623
216,217,1.0,13.0,14.0,South Williamsburg,Brooklyn,-73.95684576885641,40.703249610232
217,218,0.0,7.0,7.0,Springfield Gardens North,Queens,-73.7721162803473,40.6736200279408
218,219,0.0,5.0,5.0,Springfield Gardens South,Queens,-73.7610079604205,40.6602284956109
219,220,0.0,12.0,12.0,Spuyten Duyvil/Kingsbridge,Bronx,-73.9118772631728,40.8819009385792
220,221,0.0,1.0,1.0,Stapleton,Staten Island,-74.08133476136621,40.6202239775881
